"","Mkt.RF","SMB","HML","RF","Mom"
"Food",0.835924222946592,0.201697904570862,0.21513164821266,0.0322217362080071,-0.280289357631006
"Beer",0.707673357377563,0.351039316255635,0.214981922431184,-0.0112765593641149,-0.200076560374652
"Smoke",0.584268028782634,0.103153552441671,0.171808846969415,0.0630361131154028,-0.219165062282111
"Games",0.830211284364742,0.412089411173735,0.250386910086269,-0.0249631415080017,-0.356992161038247
"Books",0.830092455185472,0.408144550219641,0.250607946251863,0.00917245557783665,-0.306398925848136
"Hshld",0.816234215277831,0.261883426225336,0.107373306412039,-0.0242089379006919,-0.199683387657047
"Clths",0.780630356210538,0.460133866130941,0.246719130464442,-0.0201860561308071,-0.360482494864576
"Hlth",0.804021938075155,0.208896031194358,0.0643934166584022,0.00778333508030253,-0.225778082672666
"Chems",0.883889336338008,0.20801220590131,0.192392215049118,-0.0338563780165419,-0.301203132364451
"Txtls",0.823438381939885,0.495355898226147,0.347475525017188,-0.0357384903691581,-0.371136626023355
"Cnstr",0.913608055138847,0.401464343523185,0.247212497696888,-0.0312640163903347,-0.323221209910766
"Steel",0.867908928860578,0.363120431465334,0.343722906078812,-0.0487514523307552,-0.39445945392653
"FabPr",0.92504629117076,0.406787782594536,0.260263738870321,-0.0566819778907522,-0.372351868240147
"ElcEq",0.904102785188249,0.257441906060668,0.202407345323353,-0.0146875947715035,-0.324622932110446
"Autos",0.843296500621474,0.285970869340741,0.302825994579143,-0.0598635643235306,-0.389308052514137
"Carry",0.832369617329997,0.36262057874966,0.337407390491441,-0.0336495909489779,-0.343813839041614
"Mines",0.70615951819932,0.343889080302476,0.245740788970216,-0.0522097596660469,-0.271213623765877
"Coal",0.490542406658932,0.267311451286006,0.172240865252681,-0.0295893217196321,-0.137087501939611
"Oil",0.772596599245675,0.137730413443817,0.302339941344697,-0.0239555420149992,-0.249882606532393
"Util",0.761767231506828,0.175148878928656,0.35472913464822,0.026695796929574,-0.331665226855281
"Telcm",0.755234512977897,0.160554355438618,0.0990792470821097,0.0343554263883507,-0.29387445145466
"Servs",0.495606428199305,0.285079519194572,-0.0849349645793367,-0.0114507285500219,-0.0924662620493766
"BusEq",0.842643839403014,0.329808979281968,-0.0662783201070013,-0.0515958973285077,-0.228393841236577
"Paper",0.869098515232606,0.275652608346776,0.197335763987311,-0.024349325178509,-0.30017387408528
"Trans",0.858688427689112,0.348099124554701,0.430456311986268,-0.0178548101334925,-0.4231532547842
"Whlsl",0.796012435936996,0.459826392474962,0.2091541655157,-0.0128789764414089,-0.26037921100186
"Rtail",0.858747214633431,0.302931101101956,0.114997486294296,-0.0091245976663464,-0.309388329305491
"Meals",0.753859456671103,0.368636549700243,0.16355650180503,-0.0229616914881093,-0.250812674776151
"Fin",0.915883788648216,0.282585618072045,0.324565727047872,-0.0116480781402118,-0.420420611581355
"Other",0.842007727854199,0.423908353992163,0.165099454068699,-0.0356736786856624,-0.290321461147448
